,City,Temperature,Humidity,Cloudiness,Wind,lat,lng
0,gardez,13.16,43.0,1.0,1.52,33.420496430707104,69.08621340040563
1,castro,7.0,75.0,0.0,1.0,-42.92911722694919,-94.30244722368282
2,dubenskiy,,,,,51.37555612326804,56.808936020526545
3,alekseyevka,12.0,71.0,40.0,5.0,51.108434190573576,70.16272503797819
4,kruisfontein,11.56,93.0,0.0,2.53,-71.94814477218046,27.711112569679386
5,saint-philippe,19.0,93.0,90.0,5.1,-68.30076740229647,71.31787269371878
6,lasa,24.0,77.0,0.0,3.1,32.41731135346765,92.1090204076886
7,mandalgovi,2.62,78.0,100.0,8.64,44.03932685455072,106.42314908276035
8,albany,26.11,65.0,75.0,4.1,-66.2048484295178,112.95567833356301
9,lebu,14.0,87.0,75.0,1.0,-31.573121458850984,-100.73803769124014
10,constitucion,22.0,43.0,90.0,2.6,-32.58751256200899,-78.78741936077914
11,nikolskoye,6.67,93.0,75.0,3.0,31.785714805603646,172.85688191881582
12,bambous virieux,22.78,88.0,75.0,3.6,-32.740521494661294,83.52424170717268
13,wulanhaote,,,,,44.78821054975654,120.98678857768328
14,pevek,-0.06,96.0,100.0,9.06,74.15431287200207,169.96475060766977
15,sinnamary,28.02,71.0,54.0,5.38,10.885219567200323,-49.14014028380868
16,norman wells,12.0,58.0,90.0,3.1,67.983856688646,-129.22284505400606
17,cabo san lucas,30.0,61.0,75.0,7.2,14.688430258562974,-115.07008143837737
18,carnarvon,12.36,19.0,8.0,3.91,-25.284413024489098,99.43018471305885
19,ulaangom,2.93,36.0,100.0,4.67,48.345579150972384,92.46942602383314
20,naze,23.04,96.0,100.0,1.34,30.023955265885377,128.9701412805219
21,grindavik,8.0,93.0,90.0,3.6,52.467105849636624,-25.16346725904097
22,ushuaia,5.0,72.0,75.0,12.9,-76.23422288532933,-45.44754916867274
23,beloha,20.71,80.0,25.0,3.36,-29.43605505193073,43.22723242790269
24,puerto ayora,26.0,57.0,20.0,10.3,-14.933335020134024,-95.84873714120359
25,yellowknife,10.0,57.0,40.0,1.5,64.04143382667971,-115.68586186477839
26,bredasdorp,15.56,76.0,100.0,2.1,-55.50322259791442,19.448407993401503
27,new norfolk,9.44,81.0,75.0,4.6,-65.69088680126195,132.8276482025168
28,rikitea,20.16,80.0,67.0,5.77,-32.70361123951326,-137.8501929798924
29,afsin,10.15,38.0,0.0,0.9,38.28042504092403,37.05842892535469
30,tasiilaq,2.0,69.0,84.0,8.7,72.1447777009133,-33.487319415118804
31,cidreira,23.0,66.0,24.0,6.22,-38.49746110809585,-43.730627619841925
32,asau,,,,,-15.925654861848514,178.69285252090043
33,horsham,9.42,75.0,98.0,4.75,-35.4553347688429,141.87802588087652
34,sterling,30.56,62.0,1.0,2.6,39.403948206557914,-102.79853861873704
35,busselton,7.22,71.0,77.0,1.25,-39.77116124671655,107.70095409432957
36,kapaa,30.0,66.0,40.0,6.7,16.839800666215112,-164.3456952800836
37,hilo,28.89,69.0,20.0,2.1,23.32916521135266,-148.44221444723826
38,mataura,7.78,79.0,67.0,7.15,-82.6890668737087,-166.46170049668441
39,beringovskiy,4.8,84.0,97.0,2.01,61.94000584114926,179.75810352778274
40,sijunjung,18.23,88.0,94.0,0.62,-1.3664592904246717,101.10271059513423
41,qaanaaq,0.83,96.0,100.0,4.65,87.05335657008959,-97.35872584780442
42,georgetown,31.0,74.0,40.0,4.1,-11.815932379127986,-13.656130567423759
43,palabuhanratu,,,,,-10.824349659838646,105.79187453736915
44,tuktoyaktuk,5.0,93.0,90.0,2.6,81.026055358306,-137.0211990878823
45,taltal,13.46,72.0,78.0,1.84,-25.28039519121606,-76.7691886718436
46,hervey bay,20.0,72.0,80.0,5.1,-24.231267324149627,156.1274045768041
47,tonantins,33.23,49.0,24.0,1.34,-2.217214678437088,-68.28649292449845
48,maceio,24.0,83.0,0.0,3.1,-15.37455257695649,-28.32746883831834
49,namwala,19.95,18.0,75.0,2.55,-15.397667645841821,26.384887096311502
50,watsa,18.17,96.0,100.0,0.5,3.5580809768874246,29.483261090198653
51,macomb,32.22,58.0,75.0,3.1,40.36796727646234,-90.67517893419988
52,yulara,17.0,27.0,100.0,2.6,-24.241694125124937,127.0705820612373
53,upernavik,2.35,66.0,1.0,4.92,88.7942422269494,-53.559155176363035
54,atuona,26.29,78.0,22.0,6.92,-11.184394014170095,-141.13058906121665
55,muisne,27.0,83.0,20.0,5.7,2.9782453479056556,-84.97471059737654
56,dubrovnik,19.0,77.0,0.0,4.1,42.62288207677423,17.993655712463294
57,marysville,17.22,48.0,1.0,3.1,43.233862419294184,-82.73908596860882
58,nizhneyansk,,,,,76.40953097962137,133.8006632740757
59,taolanaro,,,,,-50.64813422351547,54.35310946218047
60,longyearbyen,-5.0,85.0,20.0,1.0,84.74757474895358,15.301254906898833
61,fortuna,19.44,67.0,20.0,6.7,37.69138954540985,-133.58904076537718
62,souillac,16.67,87.0,75.0,3.1,-54.892546617388426,76.75444818973244
63,chernyakhiv,10.92,75.0,0.0,5.16,50.41182470599068,28.330631199775524
64,severo-kurilsk,7.92,90.0,97.0,5.19,34.889975217887795,163.23888922234522
65,moussoro,31.75,47.0,33.0,3.12,14.014799491115937,17.238806058447295
66,santo antonio do sudoeste,32.11,30.0,0.0,2.31,-26.460186562984802,-54.07030093964387
67,pangnirtung,2.0,100.0,75.0,4.1,63.10680807633065,-62.02250840961257
68,kodiak,31.11,62.0,75.0,6.7,39.63183127587874,-148.9839759153154
69,aitape,23.6,87.0,93.0,1.22,-2.821101089155249,143.00244154126273
70,barentsburg,,,,,76.54240173618584,2.741482683542955
71,punta arenas,7.0,56.0,20.0,8.2,-75.13187086304012,-104.9489406469917
72,aflu,,,,,32.84911477056353,1.217185274858565
73,pierre,10.0,66.0,90.0,6.2,43.10126103731861,-100.85264388280822
74,viligili,,,,,0.06936678506393434,78.16363333541739
75,bluff,18.32,77.0,2.0,6.47,-51.61392033826144,168.97013889424466
76,tiksi,-2.2,94.0,99.0,7.5,72.64269103237686,130.05284292546963
77,homer,12.0,76.0,75.0,13.99,59.7690404994768,-152.0010788257408
78,viedma,11.24,34.0,0.0,5.42,-41.79016518794042,-60.26280423198796
79,ostrovnoy,2.17,82.0,90.0,11.23,79.98830934518512,42.95553301148698
80,cacoal,23.11,88.0,100.0,1.67,-10.653668849229248,-60.76337219619985
81,ljubinje,19.0,77.0,0.0,4.1,42.83250046368127,18.00254685521847
82,sakakah,,,,,29.22747714870313,40.9158604699507
83,menongue,17.09,20.0,92.0,2.41,-14.850074413965359,19.066599098513876
84,pombas,33.93,34.0,68.0,1.46,18.04219105236092,-24.27788862185531
85,avera,34.0,52.0,40.0,3.6,-22.981011275226464,-153.97303228117465
86,tigzirt,19.93,47.0,0.0,0.65,37.128653593911636,3.8130784109308706
87,rossland,11.67,39.0,44.0,1.34,48.746804457541316,-117.8246431610988
88,hobart,8.0,81.0,75.0,4.6,-69.57482301990282,149.75406154819518
89,drayton valley,9.53,49.0,67.0,2.21,53.18691734310198,-115.1031681522537
90,tutoia,26.17,68.0,0.0,4.7,0.886429845084578,-42.32143018441792
91,cape town,16.67,72.0,0.0,2.1,-47.043544602058326,10.755426936777837
92,mackenzie,11.0,50.0,20.0,4.1,56.11271730730627,-124.47762309053829
93,lavrentiya,3.63,99.0,100.0,2.96,68.25935744890762,-170.05253949798526
94,khromtau,6.2,46.0,94.0,4.88,50.479374955561724,58.554690570742906
95,plouzane,14.0,87.0,90.0,5.1,48.19599282120612,-6.206962743820327
96,leningradskiy,1.57,98.0,100.0,7.89,69.30224923595242,179.03694610537275
97,iqaluit,4.0,68.0,75.0,1.0,61.802647885362774,-74.51778834950669
98,torbay,8.33,75.0,75.0,2.6,44.94171788289833,-46.16825764041059
99,orlik,14.0,87.0,75.0,6.7,52.39519618344531,98.11710199918713
100,port elizabeth,30.0,64.0,1.0,3.6,-61.34499286164494,28.31752725370714
101,elko,11.0,37.0,40.0,3.6,38.58427342067091,-115.58469880039273
102,puerto leguizamo,32.49,53.0,34.0,1.34,-0.23494104450305997,-74.8083343698197
103,alofi,27.0,65.0,40.0,5.1,-20.186760323121632,-170.70529037099303
104,barrow,12.1,51.0,47.0,3.82,82.98619945940402,-145.46299671484593
105,nuevo ideal,21.54,57.0,90.0,2.72,24.662932318556315,-105.15256263083506
106,thompson,6.0,41.0,40.0,1.0,75.25445473659784,-96.76494259301742
107,te anau,2.51,95.0,89.0,1.29,-39.481318175392644,160.22780714599236
108,ribeira grande,22.65,83.0,100.0,14.25,40.512802948420955,-37.05123930550718
109,narsaq,12.0,25.0,100.0,18.0,79.746207078841,-62.84026095399585
110,dunedin,8.89,68.0,81.0,14.75,-57.35574051511785,178.42928682302613
111,inzer,3.26,85.0,100.0,2.27,54.00017376221348,57.932009604531345
112,avarua,25.0,61.0,0.0,6.7,-52.38154389907925,-162.69151938948053
113,saskylakh,-3.62,96.0,90.0,4.34,82.62322227270081,121.00188581208528
114,port-gentil,25.0,88.0,20.0,4.1,-5.351002676076305,0.0049366282574112574
115,codrington,18.89,93.0,40.0,2.6,23.66857682377311,-46.500247714810286
116,mount gambier,15.0,41.0,100.0,5.1,-38.03934253023016,138.54836906699182
117,mar del plata,9.82,22.0,100.0,5.66,-65.75406806800862,-31.194429184491753
118,sitka,19.44,94.0,100.0,6.26,40.08393669544046,-143.58994375048368
119,henties bay,17.22,87.0,0.0,2.68,-21.119280041724238,7.161697706439696
120,luanda,24.0,88.0,20.0,3.1,-9.504016461801172,13.821279357823641
121,tual,26.14,85.0,62.0,8.11,-4.639840301703714,130.8105746992456
122,half moon bay,21.67,51.0,1.0,5.7,28.589650013248303,-138.60483301414362
123,illoqqortoormiut,,,,,88.27495146041454,-33.21786311574621
124,port alfred,15.0,89.0,3.0,2.68,-80.43485708015646,45.2717782266385
125,guayaramerin,32.24,47.0,97.0,1.53,-10.488940979242543,-65.4412988946664
126,east london,12.59,87.0,53.0,2.32,-43.9442603879173,36.15853513024703
127,outjo,14.88,33.0,15.0,1.61,-19.271510365814066,16.32532241603147
128,araouane,36.09,14.0,0.0,2.66,19.81012152185174,-7.947610222909304
129,hofn,-5.19,71.0,24.0,2.06,62.86442815986652,-13.689153552272302
130,sao filipe,25.83,88.0,77.0,6.86,6.04428449828967,-31.758539123345372
131,hasaki,18.33,100.0,75.0,1.0,29.778360178733934,152.85901077546316
132,port augusta,21.0,19.0,0.0,4.6,-30.004357194603614,138.35077416933063
133,gat,29.0,88.0,84.0,1.5,21.865661125895713,10.139048002863916
134,rawson,5.88,55.0,80.0,5.88,-48.710056210139506,-61.639522317088435
135,pavlovsk,2.0,47.0,0.0,2.0,53.51983263570298,83.03564493931248
136,zabol,25.0,29.0,0.0,7.2,30.759372638442372,60.24450987634205
137,belushya guba,,,,,84.32709856406618,47.22853155863464
138,dikson,-2.01,85.0,6.0,8.67,71.16500709878963,78.80376190382702
139,mugreyevskiy,,,,,56.68903276172992,42.26024768768127
140,bull savanna,28.65,77.0,77.0,5.63,16.221205539404295,-77.68655880942332
141,mahebourg,22.78,88.0,75.0,3.6,-38.16314566565062,74.55165418681219
142,havelock,29.0,48.0,1.0,4.6,-41.53833048903708,173.81382426942736
143,teruel,20.0,62.0,0.0,2.6,40.255653424977254,-0.9040393179579098
144,udala,20.0,77.0,75.0,3.6,21.680208038705047,86.70766544431092
145,yar-sale,3.73,95.0,100.0,3.73,74.64374140034752,70.22317758273502
146,takoradi,23.57,93.0,100.0,1.6,-0.08971271262790026,0.2747851851828784
147,sentyabrskiy,,,,,37.26358551483966,154.01716641307274
148,bangassou,20.7,98.0,95.0,0.17,5.692511558802323,22.614285726130618
149,weinan,19.44,100.0,37.0,0.48,33.9178343884341,109.85242012637309
150,vaini,23.45,94.0,71.0,0.58,-23.701179503196087,-176.50985742428097
151,chokurdakh,-6.73,80.0,0.0,7.62,82.9058972045516,149.7628513898207
152,itoman,27.0,88.0,40.0,5.7,19.246595643610306,131.40170075588748
153,tefe,31.0,70.0,40.0,2.6,-3.5170000609729897,-63.886074895568896
154,rolim de moura,,,,,-12.407955705750908,-61.845001792039
155,oliva,19.13,20.0,97.0,7.15,39.02243143520923,0.016820525164433775
156,provideniya,8.0,87.0,75.0,7.0,55.82142013185009,-170.42821487104987
157,bethel,7.0,75.0,1.0,4.1,55.363402008817815,-161.527701751677
158,mae hong son,19.44,96.0,98.0,0.69,19.461421666540005,98.46296502873997
159,chinsali,20.67,70.0,91.0,1.51,-10.967065594099381,32.17790682671773
160,broken hill,15.0,18.0,30.0,4.1,-27.70503738107692,142.6166410016882
161,aranda de duero,14.71,52.0,0.0,3.25,41.79925587272717,-4.02914609159285
162,berlevag,2.0,74.0,40.0,8.7,81.70439612513698,32.47558935439616
163,san jose de gracia,25.68,47.0,0.0,3.08,22.101279868693965,-102.45178966617485
164,samusu,,,,,-5.200414836621192,-165.64689804069113
165,mattru,24.1,96.0,69.0,1.59,2.0583259793019693,-15.930574360519387
166,richmond hill,23.0,94.0,75.0,5.1,31.658089122961712,-81.24421947786148
167,shahpura,21.18,88.0,0.0,3.81,25.450027621373465,74.959354041582
168,skjervoy,3.0,69.0,75.0,9.3,72.39803398486114,19.938398014710913
169,doha,33.0,70.0,80.0,1.5,27.79211379028557,45.99545251528008
170,ketchikan,11.0,71.0,90.0,12.3,56.39275679517917,-132.37381648846127
171,mount isa,24.0,15.0,0.0,2.1,-20.01584028656417,137.6059851840273
172,victoria,24.0,94.0,75.0,1.5,-7.3708210936338645,50.73848334623989
173,kostomuksha,7.43,83.0,100.0,9.34,64.92070547798511,29.839165820436733
174,chifeng,14.23,67.0,0.0,4.33,44.0980154850117,119.29094745149547
175,klaksvik,7.0,81.0,73.0,8.7,74.11811530859057,-1.4561133934141992
176,pyaozerskiy,4.12,91.0,100.0,14.33,65.99812420487487,31.771065057310636
177,kaa-khem,-4.09,65.0,2.0,1.97,52.13222028800473,94.73589547582651
178,chagda,,,,,57.922201288159386,132.07183576898456
179,socuellamos,21.67,44.0,0.0,4.57,39.28005789208095,-2.7222481184857656
180,khani,13.0,93.0,0.0,1.5,56.90809213399746,119.65174569782647
181,mys shmidta,,,,,84.2061548077645,-175.93720273736523
182,kavaratti,27.24,70.0,12.0,1.74,12.040598325205025,66.1132770546935
183,halalo,,,,,-14.946704996011064,-178.8952690199726
184,ponta delgada,23.0,83.0,75.0,6.2,28.31749878010413,-27.54304387979562
185,huilong,20.66,77.0,100.0,1.39,32.06994404107087,125.17616715374521
186,kahului,30.0,51.0,20.0,7.7,35.93707418716353,-151.00476329982436
187,jamestown,18.33,24.0,0.0,5.07,-43.84239224536651,-16.79983778699355
188,calbuco,9.0,61.0,75.0,3.6,-41.531456275290246,-73.43214667353753
189,paratinga,29.05,44.0,65.0,2.02,-12.741533916991969,-43.19378327045729
190,rabo de peixe,23.0,83.0,40.0,6.7,39.23028650951511,-25.02352214437525
191,khatanga,-7.57,89.0,1.0,0.55,71.62306375880658,106.6287825865291
192,meulaboh,26.42,75.0,100.0,2.34,4.357061317415955,95.54237880180727
193,laguna,31.0,66.0,40.0,3.1,-42.5391627807792,-32.7684883272664
194,tuskegee,37.22,36.0,1.0,2.6,32.19303685309137,-85.45223072978222
195,bonavista,6.11,79.0,82.0,2.24,49.25949275687526,-51.12850580339466
196,sorland,7.0,70.0,0.0,2.6,72.89870011941815,9.955851400423398
197,chuy,18.27,95.0,100.0,4.47,-50.633191431175625,-32.91707031890189
198,nabire,20.6,97.0,92.0,1.11,-2.703092462139452,137.2064466885857
199,ponta do sol,24.46,48.0,0.0,2.96,22.921141787721808,-40.10548118665267
200,mogadishu,25.22,84.0,0.0,4.88,-0.15554190936602197,47.92541606806083
201,rocha,14.09,98.0,100.0,4.29,-40.73222440522622,-47.967423505553114
202,inhambane,17.75,83.0,100.0,3.62,-28.82680183671524,38.070923459353736
203,vila velha,27.0,65.0,0.0,4.6,-30.707129186111757,-22.095148398774825
204,tagusao,26.63,79.0,33.0,1.82,12.818452480913137,114.86985129298847
205,tahe,2.63,88.0,100.0,2.73,51.87269819618763,125.36884126431852
206,hithadhoo,27.68,78.0,84.0,7.75,-19.029981121044685,82.94273092465659
207,krasnoselkup,,,,,65.63920888322036,81.99283836700755
208,los llanos de aridane,23.0,88.0,6.0,5.7,24.77621218288982,-22.158151234339158
209,masjed-e soleyman,,,,,31.598489353008006,49.10604917028809
210,elverum,5.56,94.0,100.0,1.79,61.06541111373818,11.817135043850271
211,kudahuvadhoo,27.75,79.0,89.0,6.29,2.826950966756627,72.77621642894067
212,grand river south east,,,,,-27.21160437738373,79.52647821082957
213,karaul,,,,,70.15312777924177,80.72402217279216
214,tukrah,,,,,33.33732242220812,19.95812935644952
215,abu dhabi,31.0,79.0,66.0,2.1,22.961551187715813,55.43425034575981
216,plastun,13.76,44.0,0.0,2.21,44.5775946346688,136.4044827350487
217,caravelas,22.41,80.0,8.0,5.29,-17.97298054513263,-38.9474651494792
218,barra do garcas,36.0,32.0,20.0,3.1,-13.867780326403718,-53.40085293641785
219,north bend,15.56,67.0,1.0,6.2,44.70299343643461,-129.7970462597346
220,ambilobe,24.08,73.0,0.0,6.21,-11.942669558768046,51.2230375091394
221,ojinaga,35.0,34.0,75.0,4.1,28.949202200990356,-104.887161079934
222,senanga,21.02,16.0,100.0,3.87,-17.308380797350708,22.791250470393464
223,san jeronimo,14.07,63.0,98.0,4.26,6.417439505827218,-105.75300677022882
224,karratha,23.56,29.0,0.0,5.14,-18.805640817783924,110.41844913291015
225,partizanskoye,4.99,76.0,93.0,2.77,55.596084118314025,94.29653724634176
226,atar,37.15,8.0,0.0,4.51,24.04515395945097,-10.726358344372699
227,cap malheureux,22.78,88.0,75.0,3.6,-15.19448721498162,56.85137635772793
228,bud,8.0,93.0,100.0,1.0,70.24099964954107,4.146513710748934
229,zhezkazgan,-1.0,42.0,0.0,4.0,47.811391469142166,65.8793104092191
230,hermanus,16.11,76.0,100.0,3.13,-51.84321785632724,15.690051787615147
231,butaritari,29.82,62.0,100.0,4.72,10.854920711389312,165.75910792707697
232,bathsheba,29.0,70.0,20.0,5.7,20.824307608866206,-48.90564094817293
233,redding,22.0,29.0,0.0,1.5,40.35888696270618,-122.87258051476962
234,umm kaddadah,26.98,56.0,31.0,3.43,12.76758201432412,26.543620438927775
235,pangody,3.02,96.0,100.0,4.76,67.51794339418953,74.70021683958882
236,san patricio,34.23,39.0,34.0,2.75,10.727063925273882,-112.88473410432192
237,ouahigouya,28.54,55.0,75.0,3.9,13.769123187319565,-2.6059819322105398
238,san quintin,22.95,91.0,98.0,1.47,25.23956423887053,-124.56294440684825
239,stratford,21.0,94.0,75.0,5.1,41.07192530655243,-73.13651245275067
240,charagua,35.0,34.0,67.0,5.1,-19.62004046904741,-62.81920463295225
241,kupang,25.07,67.0,0.0,1.82,-14.024948567666186,125.01819349632956
242,vologda,5.18,83.0,0.0,5.28,58.79236684113275,39.66970400473599
243,sokoto,26.94,74.0,43.0,0.49,12.414729971895383,5.691427380320164
244,rio bueno,27.0,74.0,75.0,1.0,-39.99411117211261,-72.85804683205956
245,saint-pierre,15.0,100.0,75.0,5.7,37.298971298872075,-55.786953926531325
246,andover,11.11,93.0,90.0,4.1,51.22559398426904,-1.5503639946070678
247,bandarbeyla,23.9,83.0,18.0,2.61,9.890997151256443,50.88483132834483
248,iquique,18.0,63.0,0.0,6.7,-19.771386755623496,-71.37545618851361
249,mancio lima,,,,,-6.54141827728759,-73.57056128588381
250,nanortalik,7.71,58.0,100.0,2.08,55.35149457853777,-38.83524479673849
251,katsuura,25.0,78.0,75.0,5.7,31.10810237175329,144.0256613792322
252,pinheiro,27.02,70.0,70.0,2.27,-2.834502092712782,-45.54545641697783
253,kapitanivka,11.1,70.0,0.0,2.28,48.84180681705121,31.930967480968434
254,wilmington,28.89,65.0,1.0,5.7,30.765720107198874,-75.44065483606887
255,kasongo-lunda,20.27,92.0,13.0,0.74,-6.790869779271787,17.92318825416112
256,urdzhar,,,,,46.65044813523272,82.81509740129178
